55,190
55,182
23,182
23,154
50,154
50,145
23,145
23,121
55,121
55,112
12,112
12,190
55,190
82,190
82,112
73,112
73,190
104,190
104,112
150,112
150,150
138,150
156,190
145,190
127,157
115,157
115,121
137,121
137,146
115,146
115,190
171,190
171,113
206,113
218,127
208,150
223,168
211,189
182,190
181,120
200,121
207,130
201,145
182,145
182,156
201,156
211,167
202,182
183,182
182,190
272,190
272,182
289,171
293,151
285,127
269,121
252,127
245,150
251,175
271,183
272,190
294,182
304,150
293,119
270,112
245,120
234,150
240,178
272,190
342,190
343,121
366,121
366,112
308,112
308,121
331,121
332,190
250,190
110,190
55,190
